seed,final_pnl,sharpe_ratio,max_drawdown,max_abs_inventory
0,2.9702909200277077,1.27,-1.39,3
1,0.5598858911642424,0.27,-2.34,3
2,1.8139501092576893,0.72,-2.2,7
3,0.5813041268330892,0.29,-2.52,2
4,0.15899952893680336,0.06,-2.05,3
5,-1.9200000000003996,-0.81,-3.2,3
6,-6.008325126738043,-1.81,-6.92,4
7,7.065425316007406,2.39,-1.08,3
8,2.6833236464868833,0.7,-3.39,7
9,-1.7000000000005144,-0.71,-3.86,3
10,0.9330423550805875,0.39,-1.16,4
11,2.533416100132854,1.11,-1.37,3
12,1.966282988714056,0.92,-1.76,3
13,2.0599999999994907,0.7,-1.93,4
14,-1.0598865259129866,-0.49,-2.37,3
15,6.275197770727573,2.04,-1.15,5
16,1.3586478988776776,0.27,-4.48,8
17,-3.7700000000003797,-1.66,-4.86,3
18,2.719999999999601,1.66,-1.1,3
19,-0.7041053701408657,-0.33,-2.61,3
20,0.6005614012089069,0.21,-2.35,3
21,-3.382353011016562,-0.71,-5.59,8
22,0.8819342167230388,0.39,-2.34,2
23,0.7092976477540276,0.36,-1.74,3
24,0.6438624119662677,0.29,-2.48,5
25,-6.651009328408406,-2.1,-8.04,5
26,5.039536498666678,1.71,-1.67,4
27,-1.5396638325619278,-0.46,-6.68,5
28,1.476560420309852,0.69,-1.42,2
29,7.390769224014832,2.38,-1.57,4
30,0.14704383872697235,0.03,-3.69,6
31,2.1666385416717446,1.34,-1.12,2
32,3.5454484557002672,1.44,-1.97,3
33,2.614947199104222,1.36,-1.13,3
34,-0.8203261879643833,-0.35,-2.49,6
35,-2.0843661995484126,-0.81,-4.31,4
36,-2.7777671188437694,-0.76,-3.32,5
37,-0.5400000000003615,-0.2,-3.54,4
38,-1.3056313598206657,-0.5,-2.54,4
39,1.4473651601341828,0.64,-1.61,3
40,-2.4722822472944017,-0.83,-4.16,6
41,-1.4599921562475515,-0.73,-3.66,3
42,-1.0551741775265668,-0.54,-1.41,3
43,6.429999999999609,2.52,-0.77,4
44,-1.7681837205020088,-0.41,-3.12,7
45,0.863028851807087,0.33,-3.09,4
46,-3.0796875927075718,-0.96,-3.78,4
47,2.2966401296765184,0.83,-2.48,3
48,0.26567775652307546,0.07,-3.49,3
49,-0.38819831413036354,-0.18,-1.74,3
50,3.0904723024394087,1.52,-0.87,2
51,-2.3800000000004786,-0.91,-3.01,3
52,-2.007748674969946,-0.73,-4.29,4
53,0.14823404589179745,0.07,-2.62,2
54,3.7400241049876968,1.9,-1.17,4
55,4.74727742930969,1.85,-0.98,6
56,1.2391494813294912,0.41,-1.91,6
57,1.0598065647695307,0.43,-2.28,3
58,1.2361830436285572,0.26,-3.34,6
59,2.556405296415221,0.94,-2.26,4
60,3.6842361003182305,1.3,-1.76,4
61,0.9111520023512298,0.41,-3.4,3
62,-5.42439592370431,-1.51,-6.92,6
63,0.35376123167692697,0.18,-1.04,2
64,-2.450000000000429,-1.19,-3.49,2
65,2.03189121033995,0.57,-3.47,6
66,-0.290494684903706,-0.12,-2.0,3
67,-2.9185004911390138,-0.72,-5.21,5
68,2.254305032136017,0.75,-1.88,4
69,3.5651757555519907,1.68,-1.25,4
70,-0.204344227292097,-0.08,-3.47,5
71,2.754674945205366,1.19,-1.27,2
72,-1.9611913220424526,-0.77,-2.98,5
73,-1.6257966062213427,-0.66,-2.95,4
74,1.9630399154623746,0.89,-1.85,2
75,-1.100000000000449,-0.61,-2.11,4
76,4.523918677670451,2.16,-0.85,3
77,-2.288772077776457,-0.7,-3.52,7
78,2.5795540797587364,0.67,-2.68,6
79,9.079926739316534,1.36,-3.11,11
80,-0.9915077140466906,-0.46,-3.26,4
81,1.6325511361660574,0.6,-1.65,3
82,0.46121652817686254,0.11,-2.65,6
83,3.3299999999996004,2.24,-0.93,2
84,-2.8095414047691065,-1.25,-3.6,3
85,1.2837300167280006,0.63,-1.72,4
86,-2.3753649347844714,-1.0,-4.02,5
87,2.040827891323943,0.58,-2.97,6
88,-0.8033246016636895,-0.39,-2.72,4
89,3.273657291332057,1.45,-1.08,3
90,-0.6615912300648574,-0.28,-2.27,3
91,-1.610376424187848,-0.5,-3.7,4
92,0.2270670575278615,0.08,-3.72,4
93,-4.027925500108267,-1.03,-5.26,5
94,1.5491955455502335,0.84,-2.55,2
95,0.6484570626145683,0.22,-2.1,4
96,4.984450817333084,1.33,-2.13,5
97,-4.979809103626337,-1.53,-5.54,5
98,0.6883094654307911,0.32,-1.92,3
99,3.5547800986512925,1.66,-1.31,3
100,2.768670092836601,1.14,-1.65,3
101,-1.7446831864674124,-0.49,-4.98,5
102,3.674089841107019,1.29,-2.33,4
103,0.5529351779082958,0.16,-3.26,5
104,-4.4153283163207675,-1.99,-4.59,4
105,3.402317227588867,1.78,-1.18,4
106,2.709999999999667,1.07,-2.2,4
107,-3.7331669435620256,-1.24,-5.58,5
108,1.4495860417656417,0.47,-3.01,3
109,2.695833195746843,0.89,-2.66,4
110,-3.9151037515061944,-1.23,-5.73,7
111,-0.9467253871854098,-0.28,-4.3,5
112,-0.41099019524648384,-0.21,-2.06,5
113,5.012703600448958,2.13,-2.13,3
114,5.219183007910743,2.42,-1.29,2
115,4.256379354223242,2.5,-0.55,3
116,-0.9229150026578452,-0.3,-3.9,3
117,0.09873743371684895,0.04,-2.22,4
118,3.9699999999995157,1.55,-1.38,3
119,2.3892300018200103,1.21,-0.69,4
120,1.12440193804278,0.55,-1.36,4
121,0.5362215658138041,0.2,-1.83,2
122,5.499594042749365,1.97,-1.05,4
123,-0.42363344405690384,-0.24,-2.04,2
124,1.7096367229243015,0.6,-2.26,5
125,-1.7200000000005247,-0.69,-3.58,3
126,-2.3941061032352025,-0.91,-4.83,3
127,2.511250402759174,1.36,-1.44,4
128,2.079894766865536,1.26,-0.96,2
129,-5.113318925720705,-1.71,-5.28,7
130,-0.5349872219300238,-0.24,-1.78,3
131,0.5535482923993982,0.31,-1.42,3
132,0.9594623912893212,0.27,-3.85,5
133,1.795101977762073,0.64,-2.26,4
134,0.2984615429853079,0.1,-2.77,5
135,2.4213608144385717,1.6,-1.08,3
136,-2.3975552383421643,-1.13,-3.47,3
137,-1.3023957929051448,-0.38,-4.47,4
138,7.332038854187232,3.32,-0.72,3
139,2.4835707372049,1.06,-1.46,5
140,4.023974005197232,2.12,-2.17,3
141,3.5498095054811927,1.78,-1.11,2
142,-2.58525935489061,-1.54,-3.21,3
143,0.7825147698482624,0.15,-3.06,4
144,-5.158611733931252,-2.03,-5.5,8
145,-1.769940263783667,-0.73,-3.4,3
146,-1.1100000000004115,-0.64,-1.92,3
147,1.9248883698786017,0.76,-1.72,3
148,4.060790429112501,1.4,-1.43,4
149,1.3035712735446054,0.4,-3.17,5
150,5.312331593874703,2.07,-1.62,4
151,-0.2500687962649977,-0.1,-2.67,3
152,-1.2326208933859846,-0.54,-2.15,2
153,3.559999999999633,1.82,-1.78,3
154,2.5597855035346413,0.94,-2.58,2
155,3.247414417537044,1.85,-0.87,3
156,-0.7100943703474627,-0.28,-3.93,3
157,9.315378879391744,2.91,-1.5,4
158,-1.0061978021933555,-0.45,-3.14,3
159,4.048308308705373,1.52,-1.2,5
160,7.165087078471856,2.59,-0.9,5
161,0.8666324421645868,0.31,-3.77,5
162,-1.186245288223546,-0.52,-2.76,3
163,-1.703898268582961,-0.6,-4.52,4
164,3.185742850932357,1.98,-0.88,2
165,2.199237604893824,0.74,-2.6,4
166,-3.030000000000385,-2.12,-3.53,2
167,0.8827508804982216,0.46,-1.23,3
168,-2.003390780812765,-0.76,-3.58,4
169,2.0859088580691605,0.72,-2.33,5
170,4.431945077817744,1.17,-1.51,4
171,2.93748921825312,0.97,-1.92,3
172,-2.013623159514566,-0.84,-5.05,4
173,4.699013207556163,1.69,-1.17,7
174,6.831124059244473,2.7,-0.86,4
175,3.0624595420247687,1.43,-1.29,2
176,-2.8058561031665334,-1.29,-4.16,3
177,-1.2255636001953008,-0.67,-2.48,7
178,9.536471728051822,1.98,-1.21,6
179,1.6541130827873758,0.72,-1.49,6
180,-1.1255423770273865,-0.61,-2.78,4
181,0.40641978749513896,0.12,-2.82,4
182,0.8161804585320311,0.4,-2.49,3
183,-5.507269763885802,-1.67,-5.62,4
184,2.4492192081120976,1.02,-1.5,2
185,4.376063858408315,1.74,-1.22,7
186,-3.320433146143273,-1.26,-3.36,5
187,4.109250684280312,2.22,-1.1,3
188,-3.879532652641714,-1.39,-4.43,3
189,-1.1120960562690527,-0.52,-3.39,5
190,5.91749656045215,2.72,-1.0,5
191,0.6099999999994878,0.3,-1.16,2
192,1.3288758188510883,0.63,-1.83,4
193,-2.040000000000333,-1.38,-2.5,2
194,-4.591406300308904,-1.11,-7.08,6
195,-1.3347167485318323,-0.65,-3.78,2
196,-0.0827390114896076,-0.04,-1.4,2
197,-3.292741886326411,-1.35,-5.04,3
198,-4.374097077916417,-1.58,-6.26,5
199,4.723159561958823,1.27,-1.62,5
200,-0.23448927959117327,-0.09,-3.18,4
201,2.034963791472393,0.77,-2.32,5
202,-2.250328502884031,-1.01,-2.91,3
203,-0.18317471980711275,-0.12,-0.92,2
204,7.392353018576387,1.74,-2.64,7
205,1.3555387622262174,0.75,-1.35,3
206,2.457924548854578,0.98,-2.22,4
207,-2.3226685453136042,-0.96,-3.32,5
208,2.333443134406508,1.25,-2.21,2
209,-0.29327993382406703,-0.16,-2.08,3
210,1.308036957387685,0.69,-0.96,5
211,-0.8434295492243251,-0.43,-2.31,3
212,3.300254054630244,1.76,-1.33,2
213,3.7599999999994225,1.79,-1.19,3
214,2.0938621155868162,0.91,-1.59,3
215,0.8218697126490611,0.35,-1.48,3
216,2.728397410017209,1.01,-1.59,3
217,-3.0725469131635634,-1.39,-4.95,3
218,-2.944378963919604,-1.51,-3.3,3
219,-0.7885899701505537,-0.38,-2.56,3
220,1.5702621225124176,0.5,-1.81,5
221,-0.292648945672056,-0.16,-2.3,3
222,-1.500000000000341,-0.79,-2.8,3
223,7.714432664282015,3.49,-0.45,3
224,4.02271336269132,2.33,-1.2,3
225,-2.45212638440546,-0.96,-3.66,4
226,0.09351099896844062,0.03,-3.38,9
227,3.277297192993842,1.09,-2.34,3
228,-2.1015160613866897,-0.97,-3.45,3
229,3.1493468273345115,1.25,-1.77,4
230,1.4719578696331155,0.54,-2.36,5
231,-1.0493499440131018,-0.28,-4.3,6
232,-6.823347291734422,-1.3,-9.13,10
233,2.1130675747043597,1.39,-1.18,3
234,1.7499999999994458,0.83,-1.35,3
235,-1.746179231520017,-0.89,-2.52,2
236,-0.2923536049836457,-0.05,-7.96,11
237,-5.053465132108045,-1.47,-5.47,5
238,0.8533132951960738,0.32,-1.68,4
239,3.030979777801747,1.0,-2.29,5
240,1.7438735170489963,0.75,-1.3,5
241,2.7060301953837893,1.02,-2.26,3
242,-4.070413138526021,-1.19,-4.71,4
243,2.219999999999672,0.96,-2.22,4
244,-0.3133186667428163,-0.14,-1.62,4
245,-0.5028042406615612,-0.19,-2.92,4
246,-1.0526555456931987,-0.47,-2.52,2
247,-2.107612170789139,-1.07,-4.21,4
248,-0.18159965422694313,-0.06,-3.66,4
249,-3.8661376702799544,-1.15,-6.21,5
250,-1.5642760800137125,-0.44,-3.57,5
251,-0.020849560828864355,-0.01,-2.1,3
252,-0.8719166006955703,-0.54,-2.49,2
253,0.7557042660777142,0.33,-3.05,5
254,-0.4200000000004138,-0.2,-2.31,4
255,6.740432244734961,2.61,-1.44,4
256,4.959999999999539,2.2,-1.02,3
257,3.619999999999635,2.3,-0.58,3
258,-0.26010838094916267,-0.12,-1.99,4
259,0.50284807396406,0.16,-3.12,5
260,-3.319875881840062,-0.75,-5.98,6
261,0.8670483177715482,0.49,-2.01,2
262,4.319626680899432,1.43,-1.94,4
263,0.70509464873723,0.25,-2.49,4
264,1.6467444232599746,0.55,-2.79,7
265,3.6729823780234483,1.56,-1.52,4
266,-2.7527629304124446,-0.97,-3.59,4
267,-0.16000000000029502,-0.1,-1.3,2
268,0.5958301409251874,0.17,-3.29,3
269,1.3689397402445138,0.58,-1.72,3
270,4.626178084119829,1.48,-2.28,6
271,-1.047149086724744,-0.52,-2.53,4
272,0.2877717250966043,0.1,-1.13,7
273,-1.0600000000004712,-0.42,-3.92,3
274,-0.06266422916525016,-0.02,-4.94,4
275,2.655089330896203,0.77,-3.4,7
276,-0.3709137530548645,-0.11,-2.92,5
277,-0.43559556331598515,-0.13,-3.26,4
278,-1.990000000000407,-0.8,-3.36,4
279,-2.9972414365940097,-1.19,-3.57,4
280,-3.3075914867847587,-1.04,-7.22,6
281,-1.5293330750991458,-0.74,-2.47,4
282,1.3167498838637925,0.6,-1.31,4
283,0.9276751216862635,0.36,-2.92,2
284,4.931505700935588,1.64,-1.3,3
285,-0.7894266014966007,-0.35,-2.87,3
286,-3.705927424863887,-1.22,-7.0,4
287,-0.11596621113488936,-0.06,-2.2,5
288,1.0820038835429955,0.33,-2.73,4
289,2.4468390859289,0.96,-2.6,3
290,-2.4000000000003183,-1.28,-3.07,4
291,2.2653979977938548,0.79,-1.32,5
292,-1.530177415054169,-0.86,-3.34,4
293,-1.5342861450557166,-0.51,-4.34,6
294,4.448276919859495,1.65,-1.17,5
295,-1.575849366274582,-0.92,-2.55,2
296,0.5674468185870296,0.18,-3.7,3
297,2.929999999999538,1.33,-1.5,4
298,1.7299999999995777,1.04,-0.64,2
299,5.017059677190389,2.02,-1.4,3
